"品番","商品名_JA","current_pack_qty","catalog_pack_qty","pack_status","catalog_pages","evidence","notes"
"0787-05","シュリンクチューブ(5mm)","","ambiguous","ambiguous","カタログP.153","",""
"0787-08","シュリンクチューブ(8mm)","","ambiguous","ambiguous","カタログP.153","",""
"0819-00","(-)バネ丁番ネジW1.4×3.0","10本","10本","ok","カタログP.133","既存入数抽出メモ:PDF抽出メモ=10本 [10本] || pack_quantity_fill_report:PDF抽出メモ=10本 [10本]",""
"0819-00A","(-)バネ丁番ネジW(100本入)","100本","","no_catalog_evidence","","",""
"0819-01","(-)バネ丁番ネジW1.4×3.5","10本","10本","ok","カタログP.133","PDF抽出メモ:品番直近=10本 [.0819-01 No.0819-02 バネ丁番ネジ W 1.4×3.0×2.0 バネ丁番ネジ W 1.4×3.5×2.0 バネ丁番ネジ W 1.4×4.5×2.0 10本 10本 10本 バネ丁番ネジ G 1.4×3.0×2.0 バネ丁番ネジ G 1.4×3.5×2.0] || 既存入数抽出メモ:PDF抽出メモ=10本 [10本] || pack_quantity_fill_report:PDF抽出メモ=10本 [10本]",""
"0819-01A","(-)バネ丁番ネジW(100本入)","100本","","no_catalog_evidence","","",""
"0819-02","(-)バネ丁番ネジW1.4×4.5","10本","10本","ok","カタログP.133","PDF抽出メモ:品番直近=10本 [No.0819-02 バネ丁番ネジ W 1.4×3.0×2.0 バネ丁番ネジ W 1.4×3.5×2.0 バネ丁番ネジ W 1.4×4.5×2.0 10本 10本 10本 バネ丁番ネジ G 1.4×3.0×2.0 バネ丁番ネジ G 1.4×3.5×2.0 バネ丁番ネジ G 1.4×4.5×2.0] || 既存入数抽出メモ:PDF抽出メモ=10本 [10本] || pack_quantity_fill_report:PDF抽出メモ=10本 [10本]",""
"0819-02A","(-)バネ丁番ネジW(100本入)","100本","","no_catalog_evidence","","",""
"0819-10","(-)バネ丁番ネジG1.4×3.0","10本","10本","ok","カタログP.133","PDF抽出メモ:品番直近=10本 [バネ丁番ネジ G 1.4×3.5×2.0 バネ丁番ネジ G 1.4×4.5×2.0 10本 10本 10本] || 既存入数抽出メモ:PDF抽出メモ=10本 [10本] || pack_quantity_fill_report:PDF抽出メモ=10本 [10本]",""
"0819-10A","(-)バネ丁番ネジG(100本入)","100本","","no_catalog_evidence","","",""
"0819-11","(-)バネ丁番ネジG1.4×3.5","10本","10本","ok","カタログP.133","PDF抽出メモ:品番直近=10本 [バネ丁番ネジ G 1.4×4.5×2.0 10本 10本 10本 No.0819-10] || 既存入数抽出メモ:PDF抽出メモ=10本 [10本] || pack_quantity_fill_report:PDF抽出メモ=10本 [10本]",""
"0819-11A","(-)バネ丁番ネジG(100本入)","100本","","no_catalog_evidence","","",""
"0819-12","(-)バネ丁番ネジG1.4×4.5","10本","ambiguous: 100個 / 10本","ambiguous","カタログP.133","PDF抽出メモ:品番直近=100個 [No.0819-12 お徳用あります 100個 詳しくはP1〜5 を参照 バネ丁番ネジ 240N8500 加 加工備品 消 耗 品 ショップ アイテム POP ラッピング エッシェン] || 既存入数抽出メモ:PDF抽出メモ=10本 [10本] || pack_quantity_fill_report:PDF抽出メモ=10本 [10本]","複数候補あり: 100個 / 10本"
"0819-12A","(-)バネ丁番ネジG(100本入)","100本","","no_catalog_evidence","","",""
"0822-01","花型ナットW1.2×2.25×1.0","18ヶ","18ヶ","ok","カタログP.126","既存入数抽出メモ:PDF抽出メモ=18ヶ [18ヶ] || pack_quantity_fill_report:PDF抽出メモ=18ヶ [18ヶ]",""
"0822-01A","花型ナットW(100個入)","100個","","no_catalog_evidence","","",""
"0822-02","花型ナットG1.2×2.25×1.0","16ヶ","16ヶ","ok","カタログP.126","既存入数抽出メモ:PDF抽出メモ=16ヶ [16ヶ] || pack_quantity_fill_report:PDF抽出メモ=16ヶ [16ヶ]",""
"0822-02A","花型ナットG(100個入)","100個","","no_catalog_evidence","","",""
"0822-03","花型ナットGUN1.2×2.25×1.0","14ヶ","14ヶ","ok","カタログP.126","既存入数抽出メモ:PDF抽出メモ=14ヶ [14ヶ] || pack_quantity_fill_report:PDF抽出メモ=14ヶ [14ヶ]",""
"0822-03A","花型ナットGUN(100個入)","100個","","no_catalog_evidence","","",""
"0831-00","ツーポイントネジW 1.2×10","15本","15本","ok","カタログP.126","既存入数抽出メモ:PDF抽出メモ=15本 [15本] || pack_quantity_fill_report:PDF抽出メモ=15本 [15本]",""
"0831-00A","(-)ツーポイントネジW(100本入)","100本","","no_catalog_evidence","","",""
"0831-10","ツーポイントネジG 1.2×10","14本","14本","ok","カタログP.126","PDF抽出メモ:品番直近=14本 [No.0831-10 形状 240N299 入数 サービスパック 1.8 14本 ー A ー ー ー 10.0 1.8] || 既存入数抽出メモ:PDF抽出メモ=14本 [14本] || pack_quantity_fill_report:PDF抽出メモ=14本 [14本]",""
"0831-10A","(-)ツーポイントネジG(100本入)","100本","","no_catalog_evidence","","",""
"0831-20","ツーポイントネジGUN 1.2×10","13本","13本","ok","カタログP.126","既存入数抽出メモ:PDF抽出メモ=13本 [13本] || pack_quantity_fill_report:PDF抽出メモ=13本 [13本]",""
"0831-20A","(-)ツーポイントネジGUN(100本入)","100本","","no_catalog_evidence","","",""
"0839-00","六角底付ナットW1.2×2.25×2.0","10ヶ","ambiguous: 10ヶ / 8ヶ","ambiguous","カタログP.126","PDF抽出メモ:品番直近=10ヶ [No.0839-00 六角底付 W ツーポイント 1.2 2.25 2.0 10ヶ ー A ー ー ー] || PDF抽出メモ:品番直近=8ヶ [1.2 2.25 2.0 8ヶ ー A ー ー ー] || 既存入数抽出メモ:PDF抽出メモ=10ヶ [10ヶ] || pack_quantity_fill_report:PDF抽出メモ=10ヶ [10ヶ]","複数候補あり: 10ヶ / 8ヶ"
"0839-00A","六角底付ナットW(100個入)","100個","","no_catalog_evidence","","",""
"0839-10","六角底付ナットG1.2×2.25×2.0","8ヶ","ambiguous: 16ヶ / 8ヶ","ambiguous","カタログP.126","PDF抽出メモ:品番直近=16ヶ [No.0839-10 240N299 厚み （㎜） 入数 サービスパック 1.0 16ヶ ー A ー ー ー 2.25 1.0] || 既存入数抽出メモ:PDF抽出メモ=8ヶ [8ヶ] || pack_quantity_fill_report:PDF抽出メモ=8ヶ [8ヶ]","複数候補あり: 16ヶ / 8ヶ"
"0839-10A","六角底付ナットG(100個入)","100個","","no_catalog_evidence","","",""
"0839-20","六角底付ナットGUN1.2×2.25×2.0","8ヶ","ambiguous: 8ヶ / 10ヶ","ambiguous","カタログP.126","PDF抽出メモ:品番直近=8ヶ [No.0839-20 六角底付 GUN ツーポイント 1.2 2.25 2.0 8ヶ ー A ー ー ー] || PDF抽出メモ:品番直近=10ヶ [1.2 2.25 2.0 10ヶ ー A ー ー ー] || 既存入数抽出メモ:PDF抽出メモ=8ヶ [8ヶ] || pack_quantity_fill_report:PDF抽出メモ=8ヶ [8ヶ]","複数候補あり: 8ヶ / 10ヶ"
"0839-20A","六角底付ナットGUN(100個入)","100個","","no_catalog_evidence","","",""
"0841-01","(-)ツーポイントネジW 1.2×10","10本","ambiguous: 10本 / 4本","ambiguous","カタログP.126","PDF抽出メモ:品番直近=10本 [No.0841-01 洋白 W ツーポイント 1.2 10.0 2.5 10本 ー A ー ー ー] || PDF抽出メモ:品番直近=4本 [4本 ー ー ー ー] || 既存入数抽出メモ:PDF抽出メモ=10本 [10本] || pack_quantity_fill_report:PDF抽出メモ=10本 [10本]","複数候補あり: 10本 / 4本"
"0841-01A","(-)ツーポイントネジW (100本入)","100本","","no_catalog_evidence","","",""
"0841-11","(-)ツーポイントネジG 1.2×10","10本","10本","ok","カタログP.126","PDF抽出メモ:品番直近=10本 [No.0841-11 洋白 G ツーポイント 1.2 10.0 2.5 10本 ー A ー ー ー] || 既存入数抽出メモ:PDF抽出メモ=10本 [10本] || pack_quantity_fill_report:PDF抽出メモ=10本 [10本]",""
"0841-11A","(-)ツーポイントネジG (100本入)","100本","","no_catalog_evidence","","",""
"0843-00","(-)ツーポイントネジW1.2×13","10本","10本","ok","カタログP.126","PDF抽出メモ:品番直近=10本 [No.0843-00 洋白 W ツーポイント 1.2 13.0 1.8 10本 ー A ー ー ー ※写真は2.5倍拡大] || 既存入数抽出メモ:PDF抽出メモ=10本 [10本] || pack_quantity_fill_report:PDF抽出メモ=10本 [10本]",""
"0843-00A","(-)ツーポイントネジW(100本入)","100本","","no_catalog_evidence","","",""
"0844-00","花型段付ナットW1.2×2.25×4.0","10ヶ","10ヶ","ok","カタログP.126","PDF抽出メモ:品番直近=10ヶ [No.0844-00 花型段付 W ツーポイント 1.2 2.25 4.0 10ヶ ー A ー ー ー シリコン パ ット] || 既存入数抽出メモ:PDF抽出メモ=10ヶ [10ヶ] || pack_quantity_fill_report:PDF抽出メモ=10ヶ [10ヶ]",""
"0844-00A","花型段付ナットW(100個入)","100個","","no_catalog_evidence","","",""
"0844-10","花型段付ナットG1.2×2.25×4.0","10ヶ","ambiguous: 10ヶ / 8ヶ","ambiguous","カタログP.126","PDF抽出メモ:品番直近=10ヶ [No.0844-10 花型段付 G ツーポイント 1.2 2.25 4.0 10ヶ ー A ー ー ー] || PDF抽出メモ:品番直近=8ヶ [1.2 2.25 2.0 8ヶ ー A ー ー ー] || 既存入数抽出メモ:PDF抽出メモ=10ヶ [10ヶ] || pack_quantity_fill_report:PDF抽出メモ=10ヶ [10ヶ]","複数候補あり: 10ヶ / 8ヶ"
"0844-10A","花型段付ナットG(100個入)","100個","","no_catalog_evidence","","",""
"0845-00","花型段付ナットW1.4×2.25×4.0","10ヶ","10ヶ","ok","カタログP.125","PDF抽出メモ:品番直近=10ヶ [No.0845-00 花型底付 W ツーポイント 1.4 2.25 ※1 全長 ※2 4.5 10ヶ] || 既存入数抽出メモ:PDF抽出メモ=10ヶ [10ヶ] || pack_quantity_fill_report:PDF抽出メモ=10ヶ [10ヶ]",""
"0845-00A","花型段付ナットW(100個入)","100個","","no_catalog_evidence","","",""
"0845-10","花型段付ナットG1.4×2.25×4.0","10ヶ","10ヶ","ok","カタログP.125","PDF抽出メモ:品番直近=10ヶ [No.0845-10 花型底付 G ツーポイント 1.4 2.25 ※1 全長 ※2 4.5 10ヶ] || 既存入数抽出メモ:PDF抽出メモ=10ヶ [10ヶ] || pack_quantity_fill_report:PDF抽出メモ=10ヶ [10ヶ]",""
"0845-10A","花型段付ナットG(100個入)","100個","","no_catalog_evidence","","",""
"1","ヤットコ(先細)","","2本","missing_candidate","カタログP.99,198,247","PDF抽出メモ:品番直近=2本 [No.194-Sで、 『深さ2.0mm』 くらい の下穴を開けます。 ❻No.1でガード2本足を掴み、先端を バーナーで炙ります。 ❼No.1で持ったまま、取付位置に押 し込みます。 ❽]",""
"2","ヤットコ(先丸)","","ambiguous","ambiguous","カタログP.198,246,248","",""
"3","ヤットコ(先平)","","ambiguous","ambiguous","カタログP.199,247","",""
"4-B","ヤットコ","","ambiguous","ambiguous","カタログP.211,246,247","",""
"4-P","ヤットコ(プレミアムライン)","","ambiguous","ambiguous","カタログP.211","",""
"5","ヤットコ(ニッパー)","","ambiguous","ambiguous","カタログP.223,246,247,248","",""
"10","鉄製ドライバー(0.9mm)","","ambiguous","ambiguous","カタログP.224","",""
"11","鉄製ドライバー(1.2mm)","","ambiguous","ambiguous","カタログP.224","",""
"12","鉄製ドライバー(1.8mm)","","ambiguous","ambiguous","カタログP.224","",""
"13","鉄製ドライバー(2.3mm)","","ambiguous","ambiguous","カタログP.224","",""
"14","赤頭ドライバー(1.5mm)","","ambiguous","ambiguous","カタログP.226,246,247","",""
"14G","赤頭ドライバー(1.5mm)グリップ付","","ambiguous","ambiguous","カタログP.226","",""
"14M","(-)赤頭ドライバーMINI1.5mm","","ambiguous","ambiguous","カタログP.226","",""
"14MG","(-)赤頭ドライバーMINI1.5mmグリップ付","","ambiguous","ambiguous","カタログP.226","",""
"15","青頭ドライバー(2.0mm)","","ambiguous","ambiguous","カタログP.226,246,247","",""
"15G","青頭ドライバー(2.0mm)グリップ付","","ambiguous","ambiguous","カタログP.226","",""
"15M","(-)青頭ドライバーMINI2.0mm","","ambiguous","ambiguous","カタログP.226","",""
"15MG","(-)青頭ドライバーMINI2.0mmグリップ付","","ambiguous","ambiguous","カタログP.226","",""
"16","紫頭ドライバー(2.5mm)","","ambiguous","ambiguous","カタログP.226,246,247","",""
"16G","紫頭ドライバー(2.5mm)グリップ付","","ambiguous","ambiguous","カタログP.226","",""
"16M","(-)紫頭ドライバーMINI2.5mm","","ambiguous","ambiguous","カタログP.226","",""
"16MG","(-)紫頭ドライバーMINI2.5mmグリップ付","","ambiguous","ambiguous","カタログP.226","",""
"17","黄頭ドライバーナット廻し(花型)","","ambiguous","ambiguous","カタログP.227,246,247","",""
"17G","黄頭ドライバーナット廻し(花型)グリップ付","","ambiguous","ambiguous","カタログP.227","",""
"20-B","ヤットコ(小型)","","ambiguous","ambiguous","カタログP.206","",""
"20-1","先プラスティック(1組中1ヶ分)","1組","","no_catalog_evidence","","",""
"21","ヤットコ","","ambiguous","ambiguous","カタログP.217","",""
"21-1","No.21ヤットコ先プラスチック","","","no_catalog_evidence","","",""
"22-B","ヤットコ","","ambiguous","ambiguous","カタログP.219,246,247,253","",""
"22-P","ヤットコ(プレミアムライン)","","ambiguous","ambiguous","カタログP.219","",""
"23-B","ヤットコ(大型)","","ambiguous","ambiguous","カタログP.204","",""
"25-B","ヤットコ(大型プラスチック付)","","ambiguous","ambiguous","カタログP.216,246,247","",""
"25-P","ヤットコ(プレミアムライン)","","ambiguous","ambiguous","カタログP.216","",""
"25-1","No.25ヤットコ先プラスチック(凸)","","","no_catalog_evidence","","",""
"25-2","No.25ヤットコ先プラスチック(凹)","","","no_catalog_evidence","","",""
"26-1","No.26ヤットコ先プラスチック(1組中1ヶ分)","1組","","no_catalog_evidence","","",""
"27","ヤットコ","","ambiguous","ambiguous","カタログP.216","",""
"27-1","No.27ヤットコ先プラスチック(丸)","","","no_catalog_evidence","","",""
"27-2","No.27ヤットコ先プラスチック(角)","","","no_catalog_evidence","","",""
"28","ヤットコ","","ambiguous","ambiguous","カタログP.215","",""
"28-1","No.28ヤットコ先プラスチック","","","no_catalog_evidence","","",""
"31N","工具台","","ambiguous","ambiguous","カタログP.245,246,247","",""
"36","ヤスリ","10本","10本","ok","カタログP.241,248","既存入数抽出メモ:PDF抽出メモ=10本 [10本入] || pack_quantity_fill_report:PDF抽出メモ=10本 [10本入]",""
"39","ヤスリセット(3本入)","3本","3本","ok","カタログP.241","PDF抽出メモ:品番直近=3本 [＃６ 油目 視力測定 加 全長 180㎜ File Set （3本入）]",""
"40","ヤットコ","","ambiguous","ambiguous","カタログP.212,213,246,247,248","",""
"40-P","ヤットコ(プレミアムライン)","","ambiguous","ambiguous","カタログP.212","",""
"40-1","No.40ヤットコ先プラスチック","","","no_catalog_evidence","","",""
"41-B","ヤットコ","","ambiguous","ambiguous","カタログP.220,247","",""
"42-B","ヤットコ","","ambiguous","ambiguous","カタログP.217","",""
"42-1","No.42ヤットコ先プラスチック(凹)","","","no_catalog_evidence","","",""
"42-2","No.42ヤットコ先プラスチック(凸)","","","no_catalog_evidence","","",""
"43-23","花型ナットW 1.7×2.6×1.4","16ヶ","16ヶ","ok","カタログP.125","既存入数抽出メモ:PDF抽出メモ=16ヶ [16ヶ] || pack_quantity_fill_report:PDF抽出メモ=16ヶ [16ヶ]",""
"44","眼鏡サシ(透明生地)","2本","2本","ok","カタログP.248,249","既存入数抽出メモ:PDF抽出メモ=2本 [2本入] || pack_quantity_fill_report:PDF抽出メモ=2本 [2本入]",""
"50-1","穴明ドリルロングタイプ(1.4mm)刃長18mm","","ambiguous","ambiguous","カタログP.282","",""
"50-2","穴明ドリルロングタイプ(2.0mm)刃長18mm","","ambiguous","ambiguous","カタログP.282","",""
"50-H","レンズ穴広げ(ダイヤモンド)","","ambiguous","ambiguous","カタログP.283","",""
"50-I","溝削りダイヤモンド砥石","","ambiguous","ambiguous","カタログP.284","",""
"50-J","白毛ブラシ","","ambiguous","ambiguous","カタログP.285","",""
"50-K","鹿革バフ","","ambiguous","ambiguous","カタログP.285","",""
"50-L","羊毛バフ","","ambiguous","ambiguous","カタログP.285","",""
"50-N","磨き砥石チタン専用","","ambiguous","ambiguous","カタログP.284","",""
"50-O","スーパー超硬穴明ドリル(0.9mm)","","6本","missing_candidate","カタログP.282","PDF抽出メモ:品番直近=6本 [お徳用 6本セット あります。 同サイズ 6本入り 各 240N3934 No.50-S1 0.8㎜]",""
"50-P","スーパー超硬穴明ドリル(1.1mm)","1本","1本","ok","カタログP.282","既存入数抽出メモ:PDF抽出メモ=1本 [1本] || pack_quantity_fill_report:PDF抽出メモ=1本 [1本]",""
"50-Q","スーパー超硬穴明ドリル(1.3mm)","","ambiguous","ambiguous","カタログP.123,282","",""
"50-R","スーパー超硬穴明ドリル(1.5mm)","","1 本","missing_candidate","カタログP.282","PDF抽出メモ:品番直近=1 本 [ンズの穴明け 洗浄器 || 超硬穴明ドリル 各 1 本 240N1690 作業台・ ネジ締め 手磨き 関 連]",""
"50-S1","超硬穴明ドリル(0.8mm)","","6本","missing_candidate","カタログP.282","PDF抽出メモ:品番直近=6本 [4-U 2.2㎜ No.194-S お徳用 6本セット あります。 同サイズ 6本入り 各 240N3934]",""
"50-S2","超硬穴明ドリル(1.0mm)","1本","1 本","ok","カタログP.282","PDF抽出メモ:品番直近=1 本 [各 1 本 240N690 ドリル 関 連 ツ ーポイント 穴 埋 め No.270-P 0.8㎜] || 既存入数抽出メモ:PDF抽出メモ=1本 [1本] || pack_quantity_fill_report:PDF抽出メモ=1本 [1本]",""
"50-S3","超硬穴明ドリル(1.2mm)","1本","1本","ok","カタログP.282","既存入数抽出メモ:PDF抽出メモ=1本 [1本] || pack_quantity_fill_report:PDF抽出メモ=1本 [1本]",""
"50-S4","超硬穴明ドリル(1.4mm)","1本","1本","ok","カタログP.282","既存入数抽出メモ:PDF抽出メモ=1本 [1本] || pack_quantity_fill_report:PDF抽出メモ=1本 [1本]",""
"50-S5","超硬穴明ドリル(1.6mm)","","ambiguous","ambiguous","カタログP.282","",""
"50-W19","ダイヤモンド磨き砥石 光沢用(軸径2.3mm)","","ambiguous","ambiguous","カタログP.284","",""
"50-W2","ゴム磨き砥石(軸径3mm)","","ambiguous","ambiguous","カタログP.283","",""
"50-W20","ダイヤモンド磨き砥石 光沢用(軸径2.3mm)","","6本","missing_candidate","カタログP.284","PDF抽出メモ:品番直近=6本 [No.50-W20 ダイヤモンド磨き砥石 （光沢用） 240N2185 0.7 0.2 お徳用6本セット あります。 同サイズ6本入り 各 240N2944]",""
"50-W4","ゴム磨き砥石(軸径2.3mm)","","ambiguous","ambiguous","カタログP.283","",""
"50-W6","溝削り砥石(軸径2.3mm)","","5 枚","missing_candidate","カタログP.284","PDF抽出メモ:品番直近=5 枚 [No.50-W6 S5 上のみ 5 枚セット 240N1093 カラー メタル 補修液 上のみ 5 枚セット 240N2600]",""
"50-W6S5","溝削り砥石のみ お徳用5枚セット","5枚","","no_catalog_evidence","","",""
"50-W7","溝削り砥石(軸径2.3mm)","","ambiguous","ambiguous","カタログP.284","",""
"50-Z","マンドレール 軸径 2.3mm","1本","ambiguous: 5 枚 / 1 本 / 1本","ambiguous","カタログP.284,285","PDF抽出メモ:品番直近=5 枚 [No.50-Z 上のみ 5 枚セット 240N1093 マンドレールのみ 1 本 240N230 バ フ モーター 関 連 手磨き 関 連 鼻盛関連 品 番] || PDF抽出メモ:品番直近=1 本 [No.50-Z 上のみ 5 枚セット 240N1093 マンドレールのみ 1 本 240N230 バ フ モーター 関 連 手磨き 関 連 鼻盛関連 品 番] || 既存入数抽出メモ:PDF抽出メモ=1本 [1本] || pack_quantity_fill_report:PDF抽出メモ=1本 [1本]","複数候補あり: 5 枚 / 1 本 / 1本"
"53","アロンタイト","","ambiguous","ambiguous","カタログP.338","",""
"56","+鉄製ドライバー(大)2.5mm","","ambiguous","ambiguous","カタログP.224","",""
"57","+鉄製ドライバー(小)2.0mm","","ambiguous","ambiguous","カタログP.224","",""
"58","+チェンジドライバーセット(2本入)","2本","ambiguous: 3 本 / 2 本","ambiguous","カタログP.231,248","PDF抽出メモ:品番直近=3 本 [⊕大 細形セット （30㎜） No.59 240N2070 ⊖チェンジドライバーセット（3 本入）] || PDF抽出メモ:品番直近=2 本 [6-B ヤットコ(テンプル角度 ) ヤットコ（ニッパー） No.5 ⊕チェンジドライバーセット(2 本入 )]","複数候補あり: 3 本 / 2 本"
"58S","(+)チェンジドライバーセット(3本入)","3本","ambiguous: 2 本 / 3 本","ambiguous","カタログP.231","PDF抽出メモ:品番直近=2 本 [⊕大 2.5㎜ 240N1650 ⊕チェンジドライバーセット（2 本入） 240N2070 （3 本入）] || PDF抽出メモ:品番直近=3 本 [⊕大 2.5㎜ 240N1650 ⊕チェンジドライバーセット（2 本入） 240N2070 （3 本入）]","複数候補あり: 2 本 / 3 本"
"58-2","チェンジドライバー先丈(+)大2.5mm 30mm","","ambiguous","ambiguous","カタログP.230","",""
"58-4","チェンジドライバー先丈(+)小2.0mm 30mm","","ambiguous","ambiguous","カタログP.230","",""
"58-5","チェンジドライバー先丈(+)極小1.5mm 30mm","","ambiguous","ambiguous","カタログP.230","",""
"58-45","チェンジドライバー先(+)小小1.8mm30mm","","ambiguous","ambiguous","カタログP.230","",""
"59","(-)チェンジドライバーセット(3本入)","3本","3 本","ok","カタログP.231,248","PDF抽出メモ:品番直近=3 本 [No.59 240N2070 ⊖チェンジドライバーセット（3 本入）]",""
"59-2","チェンジドライバー先丈(-)大2.5mm 30mm","","ambiguous","ambiguous","カタログP.230","",""
"59-3","チェンジドライバー先丈(-)中2.0mm 30mm","","ambiguous","ambiguous","カタログP.230","",""
"59-4","チェンジドライバー先丈(-)小1.5mm 30mm","","ambiguous","ambiguous","カタログP.230","",""
"60-1","チェンジドライバ-柄[No.58,59,60]兼用","","ambiguous","ambiguous","カタログP.230","",""
"60-4-2","チェンジドライバー先丈六角大2.6mm 30mm","","ambiguous","ambiguous","カタログP.230","",""
"60-4-3","チェンジドライバー先丈六角中2.3mm 30mm","","ambiguous","ambiguous","カタログP.230","",""
"60-4-4","チェンジドライバー先丈六角小2.0mm 30mm","","ambiguous","ambiguous","カタログP.230","",""
"61","ネジ頭切りヤスリ","","ambiguous","ambiguous","カタログP.234","",""
"62","ダイヤモンドヤスリ(平)","","ambiguous","ambiguous","カタログP.240","",""
"63","ダイヤモンドヤスリ(角)","","ambiguous","ambiguous","カタログP.240","",""
"64","ダイヤモンドヤスリ(三角)","","ambiguous","ambiguous","カタログP.240","",""
"65","ダイヤモンドヤスリ(半丸)","","ambiguous","ambiguous","カタログP.240","",""
"66","ダイヤモンドヤスリ(丸)","","ambiguous","ambiguous","カタログP.240","",""
"67","±ネジセットW 樹脂加工(ゆるみ止)","","ambiguous: 30本 / 10本","ambiguous","カタログP.110","PDF抽出メモ:品番直近=30本 [30本] || PDF抽出メモ:品番直近=10本 [No.67-75 10本]","複数候補あり: 30本 / 10本"
"67-31","±ネジW 1.2×3.5","30本","30本","ok","カタログP.110,111,248","PDF抽出メモ:品番直近=30本 [No.67-31 ネジ W 1.0×4.0×1.8 30本 ± ± ネ] || 既存入数抽出メモ:PDF抽出メモ=30本 [30本] || pack_quantity_fill_report:PDF抽出メモ=30本 [30本]",""
"67-31A","±ネジW1.2×3.5(100本入)","100本","","no_catalog_evidence","","",""
"67-31B","±ネジW1.2×3.5(300本入)","300本","","no_catalog_evidence","","",""
"67-31C","±ネジW1.2×3.5(1000本入)","1000本","","no_catalog_evidence","","",""
"67-32","±ネジW 1.2×4.0","","30本","missing_candidate","カタログP.110,111","PDF抽出メモ:品番直近=30本 [No.67-32 ネジ W 1.2×3.5×2.0 30本 ネジ W 1.7×4.0×2.3 シリコン パ ット]",""
"67-32A","±ネジW1.2×4.0(100本入)","100本","","no_catalog_evidence","","",""
"67-32B","±ネジW1.2×4.0(300本入)","300本","","no_catalog_evidence","","",""
"67-32C","±ネジW1.2×4.0(1000本入)","1000本","","no_catalog_evidence","","",""
"67-33","±ネジW 1.4×3.0","","30本","missing_candidate","カタログP.110,111,248","PDF抽出メモ:品番直近=30本 [ネジ W 1.4×3.0×2.0 No.67-72 ネジ W 1.4×2.0×2.0 30本]",""
"67-33A","±ネジW1.4×3.0(100本入)","100本","","no_catalog_evidence","","",""
"67-33B","±ネジW1.4×3.0(300本入)","300本","","no_catalog_evidence","","",""
"67-33C","±ネジW1.4×3.0(1000本入)","1000本","","no_catalog_evidence","","",""
"67-34","±ネジW 1.4×3.5","30本","30本","ok","カタログP.110,111","PDF抽出メモ:品番直近=30本 [No.67-34 ネジ W 1.4×3.3×2.0 30本] || 既存入数抽出メモ:PDF抽出メモ=30本 [30本] || pack_quantity_fill_report:PDF抽出メモ=30本 [30本]",""
"67-34A","±ネジW1.4×3.5(100本入)","100本","","no_catalog_evidence","","",""
"67-34B","±ネジW1.4×3.5(300本入)","300本","","no_catalog_evidence","","",""
"67-34C","±ネジW1.4×3.5(1000本入)","1000本","","no_catalog_evidence","","",""
