品番,商品名,HPから確認した情報,カタログから確認した情報,日本語の一言要約,英語の一言要約,中国語の一言要約,韓国語の一言要約,確認元URLまたはカタログ掲載ページ
0786-10,シュリンクチューブ,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,カタログP.77 / 保護・補修・滑り止め加工 / 熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / 入数: 1m×3本 / φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 0.75㎜ １m×３本 1.50㎜ １m×３本 2.50㎜ １m×３本 3.50㎜ １m× / サイズです Dシリーズ （販 売 用 / No.0786-03 No.0786-05 No.0786-08 04 05 08 No.0786-10 φ内径 1.5㎜ 3.0㎜ 5.0㎜ 7.0㎜ φ収縮後 長 さ 内径 0.75㎜ １m×３本 1.50㎜ １m×３本 2.50㎜ １m×３本 3.50㎜ １m×３本 ※写真はおおよそ原寸サイズです Dシリーズ （販 売 用,熱で収縮してテンプルや小部品に密着するチューブです。保護・補修・滑り止め加工を短時間で行いやすくします。,"A heat-shrink tube that fits closely around temples or small parts. It helps with protection, repair, and anti-slip finishing.",加热后收缩并贴合镜腿或小部件的套管。便于进行保护、修补和防滑加工。,"열로 수축해 템플이나 작은 부품에 밀착되는 튜브입니다. 보호, 보수, 미끄럼 방지 가공을 빠르게 하기 쉽습니다.",カタログP.77 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0787-04,シュリンクチューブ(4mm),HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,カタログP.77 / 保護・補修・滑り止め加工 / 熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / ●チューブタイプ（素材：PE） 240N1725 φ収縮後 品 番 φ内径 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.0787-08 5.1㎜ ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 / φ収縮後 品 番 φ内径 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.07 / サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 / ●チューブタイプ（素材：PE） 240N1725 φ収縮後 品 番 φ内径 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.0787-08 5.1㎜ ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05,熱で収縮してテンプルや小部品に密着するチューブです。保護・補修・滑り止め加工を短時間で行いやすくします。,"A heat-shrink tube that fits closely around temples or small parts. It helps with protection, repair, and anti-slip finishing.",加热后收缩并贴合镜腿或小部件的套管。便于进行保护、修补和防滑加工。,"열로 수축해 템플이나 작은 부품에 밀착되는 튜브입니다. 보호, 보수, 미끄럼 방지 가공을 빠르게 하기 쉽습니다.",カタログP.77 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0787-05,シュリンクチューブ(5mm),HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,カタログP.77 / 保護・補修・滑り止め加工 / 熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / φ収縮後 品 番 φ内径 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.0787-08 5.1㎜ ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 / φ収縮後 品 番 φ内径 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.07 / サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 / φ収縮後 品 番 φ内径 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.0787-08 5.1㎜ ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04,熱で収縮してテンプルや小部品に密着するチューブです。保護・補修・滑り止め加工を短時間で行いやすくします。,"A heat-shrink tube that fits closely around temples or small parts. It helps with protection, repair, and anti-slip finishing.",加热后收缩并贴合镜腿或小部件的套管。便于进行保护、修补和防滑加工。,"열로 수축해 템플이나 작은 부품에 밀착되는 튜브입니다. 보호, 보수, 미끄럼 방지 가공을 빠르게 하기 쉽습니다.",カタログP.77 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0787-08,シュリンクチューブ(8mm),HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,カタログP.77 / 保護・補修・滑り止め加工 / 熱で収縮して部品に密着し、保護や補修に使いやすい / 熱で収縮させてテンプルや小部品に密着させるチューブです。フレームの保護・補修・滑り止め加工に使いやすく、必要な長さにカットして調整できます。 / 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.0787-08 5.1㎜ ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 / サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05 / 長 さ 内径 1.5㎜ 3m No.0787-04 2.4㎜ 2.0㎜ 3m No.0787-05 3.0㎜ 2.8㎜ 3m No.0787-08 5.1㎜ ※写真はおおよそ原寸サイズです 販売用 眼鏡グッズ （耳用） 品 番 No.0786-03 No.0786-05 No.0786-08 04 05,熱で収縮してテンプルや小部品に密着するチューブです。保護・補修・滑り止め加工を短時間で行いやすくします。,"A heat-shrink tube that fits closely around temples or small parts. It helps with protection, repair, and anti-slip finishing.",加热后收缩并贴合镜腿或小部件的套管。便于进行保护、修补和防滑加工。,"열로 수축해 템플이나 작은 부품에 밀착되는 튜브입니다. 보호, 보수, 미끄럼 방지 가공을 빠르게 하기 쉽습니다.",カタログP.77 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0819-00,(-)バネ丁番ネジW1.4×3.0,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,カタログP.57 / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 10本 / バネ丁番用 カスタマイズ 各種1袋 240N299 Parts 眼鏡部品 ⊖バネ丁番ネジG･W No.0819-00 単位㎜ No.0819-01 No.0819-02 バネ丁番ネジ W 1.4×3.0×2.0 バネ丁番ネジ W 1.4×3.5×2.0 バネ丁番ネジ W 1.4×4.5×2.0 10本 10本 10本,丁番・箱足・ブッシュなど、テンプルの開閉部を交換・補修する部品です。対応形状を合わせ、動きやガタつきを整えやすくします。,"A hinge-area part such as a hinge, end piece, or bushing. Matching the shape helps restore temple movement and reduce looseness.",用于更换或维修铰链、桩头、衬套等镜腿开合部位的零件。匹配形状后，便于改善开合和松动。,"힌지, 엔드피스, 부싱 등 템플 개폐부를 교체·보수하는 부품입니다. 대응 형태를 맞춰 움직임과 흔들림을 정돈하기 쉽습니다.",カタログP.57 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0819-00A,(-)バネ丁番ネジW(100本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 100本,丁番・箱足・ブッシュなど、テンプルの開閉部を交換・補修する部品です。対応形状を合わせ、動きやガタつきを整えやすくします。,"A hinge-area part such as a hinge, end piece, or bushing. Matching the shape helps restore temple movement and reduce looseness.",用于更换或维修铰链、桩头、衬套等镜腿开合部位的零件。匹配形状后，便于改善开合和松动。,"힌지, 엔드피스, 부싱 등 템플 개폐부를 교체·보수하는 부품입니다. 대응 형태를 맞춰 움직임과 흔들림을 정돈하기 쉽습니다.",PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0819-01,(-)バネ丁番ネジW1.4×3.5,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,カタログP.57 / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 10本 / 各種1袋 240N299 Parts 眼鏡部品 ⊖バネ丁番ネジG･W No.0819-00 単位㎜ No.0819-01 No.0819-02 バネ丁番ネジ W 1.4×3.0×2.0 バネ丁番ネジ W 1.4×3.5×2.0 バネ丁番ネジ W 1.4×4.5×2.0 10本 10本 10本 バネ丁番ネジ G 1.4×3.0×2.0 バネ丁番ネジ G 1.4×3.5×2.0,丁番・箱足・ブッシュなど、テンプルの開閉部を交換・補修する部品です。対応形状を合わせ、動きやガタつきを整えやすくします。,"A hinge-area part such as a hinge, end piece, or bushing. Matching the shape helps restore temple movement and reduce looseness.",用于更换或维修铰链、桩头、衬套等镜腿开合部位的零件。匹配形状后，便于改善开合和松动。,"힌지, 엔드피스, 부싱 등 템플 개폐부를 교체·보수하는 부품입니다. 대응 형태를 맞춰 움직임과 흔들림을 정돈하기 쉽습니다.",カタログP.57 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0819-01A,(-)バネ丁番ネジW(100本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 100本,丁番・箱足・ブッシュなど、テンプルの開閉部を交換・補修する部品です。対応形状を合わせ、動きやガタつきを整えやすくします。,"A hinge-area part such as a hinge, end piece, or bushing. Matching the shape helps restore temple movement and reduce looseness.",用于更换或维修铰链、桩头、衬套等镜腿开合部位的零件。匹配形状后，便于改善开合和松动。,"힌지, 엔드피스, 부싱 등 템플 개폐부를 교체·보수하는 부품입니다. 대응 형태를 맞춰 움직임과 흔들림을 정돈하기 쉽습니다.",PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0819-02,(-)バネ丁番ネジW1.4×4.5,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,カタログP.57 / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 10本 / Parts 眼鏡部品 ⊖バネ丁番ネジG･W No.0819-00 単位㎜ No.0819-01 No.0819-02 バネ丁番ネジ W 1.4×3.0×2.0 バネ丁番ネジ W 1.4×3.5×2.0 バネ丁番ネジ W 1.4×4.5×2.0 10本 10本 10本 バネ丁番ネジ G 1.4×3.0×2.0 バネ丁番ネジ G 1.4×3.5×2.0 バネ丁番ネジ G 1.4×4.5×2.0,丁番・箱足・ブッシュなど、テンプルの開閉部を交換・補修する部品です。対応形状を合わせ、動きやガタつきを整えやすくします。,"A hinge-area part such as a hinge, end piece, or bushing. Matching the shape helps restore temple movement and reduce looseness.",用于更换或维修铰链、桩头、衬套等镜腿开合部位的零件。匹配形状后，便于改善开合和松动。,"힌지, 엔드피스, 부싱 등 템플 개폐부를 교체·보수하는 부품입니다. 대응 형태를 맞춰 움직임과 흔들림을 정돈하기 쉽습니다.",カタログP.57 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0819-02A,(-)バネ丁番ネジW(100本入),HP照合ステータス: not_found。exact未確認のため要約根拠はカタログ優先。,固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 100本,丁番・箱足・ブッシュなど、テンプルの開閉部を交換・補修する部品です。対応形状を合わせ、動きやガタつきを整えやすくします。,"A hinge-area part such as a hinge, end piece, or bushing. Matching the shape helps restore temple movement and reduce looseness.",用于更换或维修铰链、桩头、衬套等镜腿开合部位的零件。匹配形状后，便于改善开合和松动。,"힌지, 엔드피스, 부싱 등 템플 개폐부를 교체·보수하는 부품입니다. 대응 형태를 맞춰 움직임과 흔들림을 정돈하기 쉽습니다.",PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
0819-10,(-)バネ丁番ネジG1.4×3.0,HP照合ステータス: variant_group。exact未確認のため要約根拠はカタログ優先。,カタログP.57 / 固定 / 修理や交換に使いやすい / 固定に使う商品です。サイズを合わせて使うことで、ゆるみや紛失時の修理対応をスムーズにできます。 / 入数: 10本 / バネ丁番ネジ G 1.4×3.5×2.0 バネ丁番ネジ G 1.4×4.5×2.0 10本 10本 10本 No.0819-10 No.0819-11 1袋 240N299 Parts バネ丁番パーツ No.772-518 No.772-519 No.772-520 No.772-521 No.772-522 No.773-523,丁番・箱足・ブッシュなど、テンプルの開閉部を交換・補修する部品です。対応形状を合わせ、動きやガタつきを整えやすくします。,"A hinge-area part such as a hinge, end piece, or bushing. Matching the shape helps restore temple movement and reduce looseness.",用于更换或维修铰链、桩头、衬套等镜腿开合部位的零件。匹配形状后，便于改善开合和松动。,"힌지, 엔드피스, 부싱 등 템플 개폐부를 교체·보수하는 부품입니다. 대응 형태를 맞춰 움직임과 흔들림을 정돈하기 쉽습니다.",カタログP.57 / PDF:サンニシムラ総合カタログ2025-2027 (1).pdf
